date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2026-01-01 00:00:00,3.2,0,5.8,0.2,,,18.9,36,1011.1,87
2026-01-02 00:00:00,2,0.5,3.9,2.2,,,15.2,38,1007,330
2026-01-03 00:00:00,0.7,-1.3,3.2,0,,,14.8,39,1010.6,366
2026-01-04 00:00:00,-0.4,-3.5,3.1,0,,,12.7,27,1013.6,298
2026-01-05 00:00:00,-0.9,-3.3,2.4,0,,,9.1,33,1013.8,346
2026-01-06 00:00:00,-0.2,-5.8,4.6,1,,,11.8,48,1015.8,87
2026-01-07 00:00:00,3.8,1.5,6.5,6.2,,,16.8,46,1005.4,205
2026-01-08 00:00:00,4.2,2.5,7.6,15.4,,,10.6,50,997.6,2
2026-01-09 00:00:00,4.2,2.3,6.8,1.6,,,23.2,58,992.3,30
2026-01-10 00:00:00,1.5,-1.1,4,0,,,9.1,42,1015.9,178
2026-01-11 00:00:00,4,-2.6,9.4,2.4,,,19.3,51,1013.5,8
2026-01-12 00:00:00,10.4,9.3,11.5,1,,,18.9,40,1002.6,58
2026-01-13 00:00:00,9,5.6,10.9,14.8,,,11.1,26,1005,9
2026-01-14 00:00:00,4.8,-0.2,9.4,0.6,,,7.9,30,1011,202
2026-01-15 00:00:00,8.4,6.1,9.8,11.4,,,18,46,1001,2
2026-01-16 00:00:00,6.7,2.4,9.9,0.2,,,12.7,31,1006.8,183
2026-01-17 00:00:00,8,5.7,10.1,1.2,,,10.5,24,1014.6,84
2026-01-18 00:00:00,8.4,6.4,11.1,0.4,,,8.3,23,1017.1,30
2026-01-19 00:00:00,8.9,7.2,10.1,0.6,,,13.4,28,1013.8,12
2026-01-20 00:00:00,8.7,7.8,10.1,5.2,,,22.8,62,1007.9,93
2026-01-21 00:00:00,7.8,4.5,9.7,10.3,,,22.4,53,991.6,7
2026-01-22 00:00:00,8.5,7.1,9.5,4.4,,,18.5,42,987,21
2026-01-23 00:00:00,7.4,5.1,9.4,1.4,,,22,49,985.8,49
2026-01-24 00:00:00,7.3,5.5,9.8,2,,,24.8,49,992.5,171
2026-01-25 00:00:00,6.9,5.7,8.1,1.2,,,14.5,31,993.7,55
2026-01-26 00:00:00,5.4,4.6,6,0,,,14.6,38,1000.3,19
2026-01-27 00:00:00,7.3,4.4,10.3,12.1,,,23.4,58,986.5,35
2026-01-28 00:00:00,5.4,0.9,10.1,0.2,,,6.2,22,994,123
2026-01-29 00:00:00,4.1,0.8,7,0.2,,,14.8,42,996.4,45
2026-01-30 00:00:00,7.4,3.7,10.9,6.6,,,18.9,40,988.4,132
2026-01-31 00:00:00,7.8,5.5,10.4,1.6,,,13.7,37,996.6,145
2026-02-01 00:00:00,7.8,5.8,9.1,7.8,,,8.8,21,1000.3,54
2026-02-02 00:00:00,7.3,5.5,8.5,0.4,,,15.5,41,996.3,48
2026-02-03 00:00:00,4.7,2.8,6.9,9.4,,,15.1,45,992.7,6
2026-02-04 00:00:00,7.4,3.6,10.9,0.2,,,14.3,41,990.8,70
2026-02-05 00:00:00,7.4,6.2,8.6,6.6,,,19.5,39,982.8,83
2026-02-06 00:00:00,9.4,7.9,11.9,10.6,,,14.3,32,985.3,90
2026-02-07 00:00:00,8.5,5.6,10.9,2.9,,,15.4,37,994.9,79
2026-02-08 00:00:00,8.2,4.5,10.7,2.8,,,10.8,29,1003.4,123
2026-02-09 00:00:00,7.9,5.1,10.7,0.8,,,16.5,38,999,98
2026-02-10 00:00:00,9.6,7.7,11.3,4.7,,,11.9,27.8,987.1,16
2026-02-11 00:00:00,10.5,9,12.4,4.6,,,15.5,35.2,980.8,74
2026-02-12 00:00:00,8.3,7.4,9,1.4,,,13.3,33.3,984.6,86
2026-02-13 00:00:00,6.5,4.1,8.8,1.6,,,12.7,42,992.8,161
2026-02-14 00:00:00,3.9,0.9,7.1,0,,,10.7,31,1014.8,289
2026-02-15 00:00:00,5.7,3.5,9.4,11.1,,,17.2,48,1003.1,14
2026-02-16 00:00:00,6.9,5.2,9.8,1.8,,,20.2,59,997.9,221
2026-02-17 00:00:00,4.6,2.4,6.8,0,,,13.5,45,1013.8,331
2026-02-18 00:00:00,4.3,2.7,5.6,5.6,,,25,53,1002.8,1
2026-02-19 00:00:00,5.4,4.8,6.1,1.2,,,12.5,35,1000.8,17
2026-02-20 00:00:00,8,4.4,11.8,1.3,,,19.5,64,1015.7,40
2026-02-21 00:00:00,11.4,8.9,13.6,1.8,,,22,50,1018.9,31
2026-02-22 00:00:00,12,9.1,14.1,0.6,,,22.8,50,1016.3,142
2026-02-23 00:00:00,10.7,8.4,13.1,0,,,24.9,50,1015.2,38
2026-02-24 00:00:00,12.2,9.7,15.2,0,,,15.5,44,1016.2,196
2026-02-25 00:00:00,11.8,7.5,17,0,,,10.7,26,1015.4,362
2026-02-26 00:00:00,11.5,10,13,0,,,23.2,58,1015.8,61
2026-02-27 00:00:00,11.2,9.5,13.2,2.8,,,18.9,45,1009.6,72
2026-02-28 00:00:00,8.5,6.6,10.9,5.3,,,16.8,45,1015.2,175
2026-03-01 00:00:00,10.2,7.4,13.3,0,,,19.8,48,1015.7,19
2026-03-02 00:00:00,11.4,8.6,15.8,0,,,16.4,45,1015,348
2026-03-03 00:00:00,9.5,6,14.2,0,,,8.6,26,1025.7,171
2026-03-04 00:00:00,8.3,5.8,13.5,0,,,10,24,1024.7,297
2026-03-05 00:00:00,11.2,4.7,18.1,0.2,,,9.2,30,1015.9,477
2026-03-06 00:00:00,8.5,7.4,10.7,8.6,,,7.2,21,1021.2,31
2026-03-07 00:00:00,7.9,6.6,9.3,0.3,,,9.6,26,1026.3,2
2026-03-08 00:00:00,8.6,7.5,9.9,0,,,9.2,20,1023.4,43
2026-03-09 00:00:00,9.5,7.1,12.6,0,,,7.8,24,1018.8,55
2026-03-10 00:00:00,10.1,8.3,13,0.4,,,16.4,44,1014.4,126
2026-03-11 00:00:00,10,6.8,12.7,1.3,,,23.7,50,1011,395
2026-03-12 00:00:00,9.6,5.9,12,0.4,,,31.4,73,1011.1,11
2026-03-13 00:00:00,7.3,3.1,11.8,10.4,,,26.1,83,1000.5,241
2026-03-14 00:00:00,5.9,0.8,11.8,0,,,10.1,30,1005.2,385
2026-03-15 00:00:00,6.9,1.5,12.1,0.8,,,21.4,59,1011.4,103
2026-03-16 00:00:00,8.9,4.3,12,0,,,22.4,48,1015.3,104
2026-03-17 00:00:00,11,8.3,14.5,0,,,18.5,40,1015.7,333
2026-03-18 00:00:00,11.6,6.7,18.8,0,,,13.8,33,1020.3,524
2026-03-19 00:00:00,10.5,4.3,16.6,0,,,10.2,35,1025.8,608
2026-03-20 00:00:00,8.9,3.8,14.4,0,,,8.8,25,1022.5,373
2026-03-21 00:00:00,8.4,3.1,14.4,0,,,8.5,23,1019.4,561
2026-03-22 00:00:00,7.6,1.9,12.9,0,,,5.5,17,1017,277
2026-03-23 00:00:00,10,4.1,15.6,0,,,8.5,28,1020,168
2026-03-24 00:00:00,10.7,8.7,12.9,0.6,,,26.3,72,1012.6,6
2026-03-25 00:00:00,6.8,4.4,9.8,1.3,,,24.6,70,1009.6,285
2026-03-26 00:00:00,6.5,1,10.1,0,,,10,31,1021.9,445
2026-03-27 00:00:00,9.5,6.7,12.3,1.8,,,13.8,31.5,1019.7,2
2026-03-28 00:00:00,7.5,4,11.2,0,,,11.6,29.6,1025.4,483
2026-03-29 00:00:00,7.5,3.1,11.2,0,,,16.8,42.6,1028.8,197
